ecogears_id,station_name,address,latitude,longitude,availability,charger_level,connector_type,connector_types,network,power_kw,price_per_kwh,description,created,updated
tuzak0imyro7gsg,Adani Charging Station Parvat,"Shop No.1, Ground Floor, The Palace, opp. Capital Square, Parvat Gam, Shakti Nagar, Surat, Gujarat 395012",21.182117,72.871162,Available,DC Fast,Type 2,Type 2,Adani,50,18,Located near Capital Square in Parvat Gam. || Open Hours: 24/7 Available || Phone: 1800224344,2026-06-23 12:53:21.539Z,2026-06-23 12:53:21.539Z
kyopgmnvlvy6i84,Ather Charging Station Dindoli,"4VXF+56J, Karadva - Dindoli Rd, Sai Shiv Shakti Society, Dindoli, Surat, Gujarat 394210",21.14796,72.873002,Available,Level 1,Type 2,Type 2,Ather Grid,3,15,Located near Sai Shiv Shakti Society in Dindoli. || Open Hours: 07:00 AM - 11:00 PM || Phone: 7676600900,2026-06-23 12:53:21.719Z,2026-06-23 12:53:21.719Z
dc39klckqm1p9nh,Ather Grid Charging Station Magdalla,"VR, Dumas Rd, nr. VR Mall, New Magdalla, Surat, Gujarat 395007",21.145144,72.75762,Available,Level 1,Type 2,Type 2,Ather Grid,3,15,Located near VR Mall in New Magdalla. || Open Hours: 08:00 AM - 11:00 PM || Phone: 7676600900,2026-06-23 12:53:21.908Z,2026-06-23 12:53:21.908Z
3a95em28ua5398a,Ather Grid Charging Station Vesu,"G1 and G2, Milagro Milestone, opposite UM Road, Someshwara Enclave, Vesu, Surat, Gujarat 395007",21.15295,72.778545,Available,Level 1,Type 2,Type 2,Ather Grid,3,15,Located opposite UM Road in Vesu. || Open Hours: 08:00 AM - 11:00 PM || Phone: 7676600900,2026-06-23 12:53:22.092Z,2026-06-23 12:53:22.092Z
arcgp6vnfjcdgno,Ather Grid Charging Station Adajan,"Block no. 23/A, R.S No. 38/2, Gaurav Path Road, near Kratos Club, Adajan, Surat, Gujarat 394510",21.192575,72.77154,Available,Level 1,Type 2,Type 2,Ather Grid,3,15,Located near Kratos Club in Adajan. || Open Hours: 07:00 AM - 11:00 PM || Phone: 7676600900,2026-06-23 12:53:22.254Z,2026-06-23 12:53:22.254Z
u56umrc1r8p897u,Ather Grid Charging Station Vesu,"4QM6+MJG, Vesu Canal Rd, Vesu, Surat, Gujarat 395007",21.134186,72.76157,Available,Level 1,Type 2,Type 2,Ather Grid,3,15,Located along Vesu Canal Road in Vesu. || Open Hours: 08:00 AM- 12:00 AM || Phone: 7676600900,2026-06-23 12:53:22.444Z,2026-06-23 12:53:22.444Z
buqhzibqc3eui6d,Ather Grid Charging Station Magdalla,"Dumas Rd, VR, Magdalla, Surat, Gujarat 395007",21.145174,72.756949,Available,Level 1,Type 2,Type 2,Ather Grid,3,15,Located near VR Mall along Dumas Road. || Open Hours: 24/7 Available || Phone: 7676600900,2026-06-23 12:53:22.623Z,2026-06-23 12:53:22.623Z
bpvwfr70rz5wjfu,Ather Grid Charging Station Vadod,"Jay Girnar Autoelectric, New Bamroli Rd, next to Nyara petrol pump, Vadod, Bamroli, Udhana, Surat, Gujarat 394210",21.131994,72.82758,Available,Level 1,Type 2,Type 2,Ather Grid,3,15,Located next to Nyara Petrol Pump in Vadod. || Open Hours: 08:00AM - 11:00 PM || Phone: 7676600900,2026-06-23 12:53:22.788Z,2026-06-23 12:53:22.788Z
cwqthaqis9yabgn,Ather Grid Charging Station Udhana,"Plot No 535 to 534, Unity Industrial Estate, Udhana, Surat, Gujarat 395023",21.141403,72.853455,Available,Level 1,Type 2,Type 2,Ather Grid,3,15,Located inside Unity Industrial Estate in Udhana. || Open Hours: 07:00 AM - 11:00 PM || Phone: 7676600900,2026-06-23 12:53:22.969Z,2026-06-23 12:53:22.969Z
3ktx26c2t6ze3vy,Ather Grid Charging Station Bhatha,"5QP6+233, Bhatha, Surat, Gujarat 394510",21.185001,72.760181,Available,Level 1,Type 2,Type 2,Ather Grid,3,15,Convenient community charging point located in Bhatha. || Open Hours: 08:00 AM- 12:00 AM || Phone: 7676600900,2026-06-23 12:53:23.170Z,2026-06-23 12:53:23.170Z
