station_name,address,latitude,longitude,networks,charger_levels,connector_types,power_kw,prices,availability,record_count
IndianOil Sonari,"Ground Floor Sonari, Bonandh, Jiav, Surat, Sonari, Gujarat 395023",21.110613,72.838146,IndianOil,Level 2,Type 2,11,15,Available,1
SMC Charging Station Khajod,"Dream City Parking Area, SDB Road, Diamond Bourse, Surat, Khajod, Gujarat 395007",21.110777,72.796964,SMC,DC Fast,Type 2,50,18,Available,1
BPCL Charging Station Udhana,"4V95+9P6, Unn Patiya, Udhana, Surat, Un, Gujarat 395023",21.11841,72.859268,BPCL,DC Fast,Type 2,50,18,Available,1
SMC Charging Station Bhestan,"Sairaj Residency, Bhestan-Jiav Rd, Bhestan, Surat, Gujarat 395023",21.125232,72.851644,SMC,DC Fast,Type 2,50,18,Available,1
Tarang Electric Vehicles Udhana,"Plot No. 2, Raj industries Pandesara Road, GIDC, Udhana, Surat, Gujarat 394221",21.129368,72.83099,Tarang EV,Level 2,Type 2,11,15,Available,1
Ather Grid Charging Station Vadod,"Jay Girnar Autoelectric, New Bamroli Rd, next to Nyara petrol pump, Vadod, Bamroli, Udhana, Surat, Gujarat 394210",21.131994,72.82758,"Ather Grid, HPCL","Level 1, Level 2",Type 2,"3, 11",15,Available,2
Log9 Charging Station Surat,"Unit 3, Dumas Rd, near Green Field Naturals, Surat, Gujarat 395007",21.133167,72.747083,Log9,Level 2,Type 2,11,15,Available,1
Ather Grid Charging Station Vesu,"4QM6+MJG, Vesu Canal Rd, Vesu, Surat, Gujarat 395007",21.134186,72.76157,Ather Grid,Level 1,Type 2,3,15,Available,1
Denchi Electric Vesu,"Aagam Shopping World, A 13, Vesu Canal Rd, opposite Nandini 1 Apartments, Near Agarwal School, Vesu, Surat, Gujarat 395007",21.135491,72.774161,Denchi Electric,Level 2,Type 2,11,15,Available,1
Tata Power Charging Station Majura,"Village:, Survey/Block No:- 88, T.P. No:- 42, F.P. No:- 33, Majura, Bhimrad, Surat, Gujarat 395007",21.137048,72.799548,Tata Power,Level 2,Type 2,11,15,Available,1
New Tech Toys & Gift Articles Vesu,"Ground Floor, Shop no. 3, Aakash Retail, NM Mavani Rd, opposite Vastugram, Vesu, Surat, Gujarat 395007",21.141162,72.765064,Independent,Level 2,Type 2,11,15,Available,1
Ather Grid Charging Station Udhana,"Plot No 535 to 534, Unity Industrial Estate, Udhana, Surat, Gujarat 395023",21.141403,72.853455,Ather Grid,Level 1,Type 2,3,15,Available,1
SMC Charging Station Vesu,"4QRJ+JPP, near Vesu, Vesu, Surat, Gujarat 395007",21.141586,72.781815,SMC,Level 2,Type 2,11,15,Available,1
Tata Power Charging Station Vesu,"Block No, 217/B, VIP Rd, near E-Space, Bharthana, Vesu, Surat, Gujarat 395007",21.142835,72.79268,Tata Power,Level 2,Type 2,11,15,Available,1
Ather Grid Charging Station Magdalla,"VR, Dumas Rd, nr. VR Mall, New Magdalla, Surat, Gujarat 395007",21.145144,72.75762,Ather Grid,Level 1,Type 2,3,15,Available,1
Ather Grid Charging Station Magdalla,"Dumas Rd, VR, Magdalla, Surat, Gujarat 395007",21.145174,72.756949,Ather Grid,Level 1,Type 2,3,15,Available,1
SMC Charging Station Udhana,"4RWX+PGR, Pramukh Park, Udhana, Surat, Gujarat 394210",21.146837,72.849099,SMC,Level 2,Type 2,11,15,Available,1
Ather Charging Station Dindoli,"4VXF+56J, Karadva - Dindoli Rd, Sai Shiv Shakti Society, Dindoli, Surat, Gujarat 394210",21.14796,72.873002,Ather Grid,Level 1,Type 2,3,15,Available,1
Mercedes-Benz Charging Station Bharthana,"Reegus Business Centre, New Tirumala, Bharthana, Surat, Gujarat 395007",21.148496,72.797973,Mercedes-Benz,DC Fast,Type 2,50,18,Available,1
SMC Charging Station Pandesara,"Pandesara GIDC Main Road, 4RX8+HF6, GIDC, Trupte Nagar, Gopal Nagar Society, Pandesara, Surat, Gujarat 394210",21.148914,72.816148,SMC,DC Fast,Type 2,50,18,Available,1
SMC Charging Station Pandesara,"G11,12, Anaya Business hub, D-mart, beside pandesara, Gopal Nagar Society, Pandesara, Surat, Gujarat 394210",21.148916,72.816161,SMC,DC Fast,Type 2,50,18,Available,1
SMC Charging Station Althan,"Althan Depot/Terminal, Althan, Surat, Gujarat 395017",21.149495,72.80917,SMC,DC Fast,Type 2,50,18,Available,1
Jio-bp pulse Charging Station Vesu,"Reliance Mall Udhana Magdalla Rd, Char Rasta, near RM JHASV School, Vesu, Surat, Gujarat 395007",21.149934,72.773686,Jio-bp,Level 2,Type 2,11,15,Available,1
BMW Destination Charging Station Magdalla,"TP No. 3, Rundh Paikee, Besides Rangoli Restaurant, Surat - Dumas Rd, New Magdalla, Rundh, Gujarat 395007",21.151684,72.76256,BMW,DC Fast,Type 2,50,18,Available,1
Electric Vehicle Charging Station Bhedwad,"5R2R+PRM, Harichha Ind., Shed, opp. Nova Complex, Bhedwad, Pandesara, Udhana, Surat, Gujarat 394210",21.151834,72.842038,Independent,DC Fast,Type 2,50,18,Available,1
Hindustan Petroleum Corporation Limited Althan,"4 Plot, TP No, City Light Rd, opposite Maheshwari Bhavan, New Tirumala, New City Light, Althan, Surat, Gujarat 395007",21.152007,72.801226,HPCL,Level 2,Type 2,11,15,Available,1
