station_id,station_name,state,district,city,location,latitude,longitude,operator,govt_private,charger_type,ac_dc,power_kw,connector_rating,num_connectors,source_record_count,source,data_date,status,usage_cost,review_flag
BEE-11.142523-78.208637,CORPORAT ION OF Charging Station,,,,,11.142523,78.208637,CORPORAT ION OF,Govt.,,,15.0,15,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,missing_state
BEE-12.852976-80.228474,CORPORAT ION OF Charging Station,,,,,12.852976,80.228474,CORPORAT ION OF,Govt.,,,50.0,50,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,missing_state
BEE-12.922066-80.252989,CORPORAT ION OF Charging Station,,,,,12.922066,80.252989,CORPORAT ION OF,Govt.,,,50.0,50,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,missing_state
BEE-12.965365-80.246109,CORPORAT ION OF Charging Station,,,,,12.965365,80.246109,CORPORAT ION OF,Govt.,,,50.0,50,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,missing_state
BEE-13.010000-80.020000,CORPORAT ION OF Charging Station,,,,,13.01,80.02,CORPORAT ION OF,Govt.,,,1.1,1.1,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,missing_state
BEE-13.022592-80.259181,CORPORAT ION OF Charging Station,,,,,13.022592,80.259181,CORPORAT ION OF,Govt.,,,1.1,1.1,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,missing_state
BEE-13.026949-80.245303,CORPORAT ION OF Charging Station,,,,,13.026949,80.245303,CORPORAT ION OF,Govt.,,,1.1,1.1,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,missing_state
BEE-13.039020-80.276310,CORPORAT ION OF Charging Station,,,,,13.03902,80.27631,CORPORAT ION OF,Govt.,,,1.1,1.1,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,missing_state
BEE-13.039600-80.236000,CORPORAT ION OF Charging Station,,,,,13.0396,80.236,CORPORAT ION OF,Govt.,,,1.1,1.1,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,missing_state
BEE-13.040870-80.268150,CORPORAT ION OF Charging Station,,,,,13.04087,80.26815,CORPORAT ION OF,Govt.,,,1.1,1.1,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,missing_state
BEE-13.053253-80.221336,CORPORAT ION OF Charging Station,,,,,13.053253,80.221336,CORPORAT ION OF,Govt.,,,50.0,25,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,missing_state
BEE-13.106305-80.152405,CORPORAT ION OF Charging Station,,,,,13.106305,80.152405,CORPORAT ION OF,Govt.,,,1.1,1.1,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,missing_state
BEE-13.142207-80.194982,CORPORAT ION OF Charging Station,,,,,13.142207,80.194982,CORPORAT ION OF,Govt.,,,1.1,1.1,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,missing_state
BEE-13.152623-80.228437,CORPORAT ION OF Charging Station,,,,,13.152623,80.228437,CORPORAT ION OF,Govt.,,,15.0,15,1,1,BEE EV Public Charging Stations Data till 26 October 2025,2025-10-26,,,missing_state
