station_name,latitude,longitude,source
"Central    Zone Fly-Over Bridge,Millennium Market Pay & Use Toilet , Pillar No. 35,    Ring Road",21.188837,72.840739,SMC
"Open Plot beside Gopi-Talav Multi Level Parking, Navsari Bazar",21.190865,72.828612,SMC
"Open Plot Near School No. 81, Una Pani Road, Lal Darwaja",21.205685,72.835885,SMC
Muglisara Multi Level Parking - Surat,21.19989,72.82095,SMC
"Below Delhi Gate FOB , Opp. Relax Inn Hotel",21.202112,72.839397,SMC
"Below Fly Over Bridge,Opp. Man Darwaja Fire Station, Ring Road",21.185062,72.836278,SMC
"Multilevel    Parking beside Sardar Smruti Bhavan, Varachha",21.213466,72.850401,SMC
"Shayama Prasad Mukhrji Community Hall, Parvat Patiya",21.195862,72.860697,SMC
"TP - 20 (puna), FP-182, Kiran chowk",21.21431,72.881002,SMC
"SMIMER    HOSPITAL, Near Staff Quarters",21.19714,72.847983,SMC
"Below    Fly Over Bridge,Opp. Nana Varachha Health Center, Nana Varachha",21.226298,72.88954,SMC
"Sarthana Nature Park,Nr-sarthana Jakat Naka, Surat Kamrej Road",21.230156,72.898534,SMC
"Block no 120, hare krishna village, Simada check post",21.213335,72.90682,SMC
"Mota Varachha lake garden, near Kabrasthan,Ramchowk, Mota    varaccha",21.243174,72.882918,SMC
"Moon    Garden Parking Area, Utran",21.232387,72.868421,SMC
"Open    Plot near Causeway, Katargam",21.220299,72.807261,SMC
"Katargam Community Hall, Vastadevi Road, Katargam",21.217372,72.83422,SMC
"Kansanagar Sports Ground, Near Katargam Lake Garden,Katargam",21.22758,72.83737,SMC
"SMC Health Club,Ved Road",21.238028,72.820096,SMC
"North Zone Office, Surat Municipal Corporation,Behind Gajera    school",21.234583,72.836611,SMC
"Below Katargam Bridge,Balashram Near Paras Chowki, Pilar No-2",21.218956,72.832238,SMC
"Muli-Level    Parking, Behind Millenium Textile Market, Umarwada",21.187689,72.844186,SMC
"South East Zone Office, SMC, Model Town Road, Dumbhal",21.183899,72.860365,SMC
"SMC Party Plot, Opp.    Ruturaj Textile Market, Near ITM Building,Godadra",21.179568,72.871557,SMC
"Below    Parley Point Bridge, Surat Dumas Road",21.17453,72.794544,SMC
"Open Plot at  T.P. 3, F.P.    76, near Valentine Theatre, near Sai Mandir, Opp. Central Mall, Dumas Road",21.156252,72.764152,SMC
"Parking Area of Night Food Plaza,Behind Lake view    Garden,Piplod",21.163529,72.781093,SMC
"Below Anu-Vrat Dwar Fly-Over Bridge, Udhana Magdalla Road",21.159993,72.797409,SMC
"Vesu Fire station, VIP road, Vesu",21.141555,72.78165,SMC
"Open Plot at TP 28, R-14, Near Lalbhai    Contractor Stadium",21.153539,72.769029,SMC
"Althan BRTS Bus Depo,Althan",21.148937,72.808707,SMC
"Opp.Airport Surat,Dummas Road Surat",21.124812,72.738902,SMC
"Udhana Magdalla Road T.P.28(Althan-Bhatar),F.P.99,Open Plot.",21.162645,72.809168,SMC
"Beside Chopati, Open Plot for Parking",21.184169,72.805779,SMC
"Open Plot T.P. 1, F.P. 182, near S.D. Jain School, Beside Sai    Kutir Society",21.152808,72.77635,SMC
"Dream City Parking Area, Diamond Bourse, Khajod",21.110307,72.797131,SMC
"Open plot beside Rajhans Montessa,dumas road",21.135383,72.749996,SMC
"Open    Plot at TP- 58, FP -201 near D -Mart, Pandesara",21.148861,72.816132,SMC
"Moje Bhedwad, Pramukh park Industrial estate",21.146896,72.849234,SMC
"TP-48,FP 79,Jiav Budia Road,Opp.NFI Garden,Bhestan",21.125219,72.851614,SMC
"Open Plot beside Surati - I lab, TP-1, FP-79.",21.164973,72.833048,SMC
Jahangirpura    Community Hall Parking Area,21.229638,72.790166,SMC
"Adajan Sports Complex, Opp. Atman Park, Near L.P. Savani Road,    Adajan",21.195727,72.787812,SMC
"Below Star bazar bridge, Surat Hazira Road, Adajan",21.185048,72.793003,SMC
"Jyotindra Dave Udhyan,Opp. Jogani Nagar, Honey Park Road,Adajan",21.202981,72.791399,SMC
"Open Plot beside Palanpore BRTS Bus Depot, Palanpore",21.206081,72.774029,SMC
"Sanjeevkumar Auditorium,Behind Rajhans Cinema ,Pal",21.185163,72.784561,SMC
"Opp D Mart (Jhangirpura), TP - 44, FP - 31",21.230998,72.777875,SMC
"Open Plot,Sidhdhchakra Recidency, Opp. Fortune Mall,Near Galaxy    Circle, Adajan",21.190979,72.778883,SMC
Open Plot Beside D Mart-Adajan,21.195594,72.793176,SMC
MobiLane Shree Ambica Auto Udhana,21.17227412,72.84159844,OCM
MobiLane E Motion Logitech Pvt Ltd,21.13824793,72.8810473,OCM
MobiLane Shree Ambica Auto Hazira,21.1640446,72.73775251,OCM
 Chargezone Hotel Rangoli,21.038975778372475,72.9752654100723,OCM
